date,A1_actual,A2_actual,B1_actual,B2_actual,cohort_A_actual,cohort_B_actual,aggregate_actual,A2_pred,B1_pred,B2_pred,A1_pred,cohort_A_pred,cohort_B_pred,aggregate_pred,label
1/1/23,410886.45,43009.42,252016.7,31830.27,453895.87,283846.97,737742.84,66904.15737,301920.8955,37713.25145,567870.2798,636680.6459,335671.4711,954132.9679,train
1/2/23,471699.9,59401.16,271269.7,37714.74,531101.06,308984.44,840085.5,70251.77638,292117.1426,36534.83424,545225.031,618343.5243,325058.1398,924967.0229,train
1/3/23,488230.38,59444.39,236486.5,31429.3,547674.77,267915.8,815590.57,71876.22621,273168.1647,35442.06868,566317.77,639942.8388,306679.9309,932026.4642,train
1/4/23,493331.81,57254.9,266749.62,32362.67,550586.71,299112.29,849699,70137.34893,275393.827,35138.62156,577081.8737,648561.903,307468.413,941944.639,train
1/5/23,536256.46,65194.16,241683.87,35848.57,601450.62,277532.44,878983.06,66983.0251,261670.6462,33638.85545,543875.3943,611940.9641,292476.5493,891597.0473,train
1/6/23,467431.08,63671.67,218186.2,37699.96,531102.75,255886.16,786988.91,65279.16427,248248.3805,32119.23913,514034.6389,580539.2163,277649.2379,846991.3351,train
1/7/23,486816.45,47676.67,231061.8,32377.59,534493.12,263439.39,797932.51,63036.59868,253063.5911,33550.96582,499890.6856,563754.5334,284695.0963,836763.3061,train
1/8/23,510545.41,45445.17,257562.8,25517.84,555990.58,283080.64,839071.22,67964.30311,279712.7976,37337.75156,560650.3252,629613.7491,315472.2947,934024.5886,train
1/9/23,506869.33,59004.92,241102.9,33416.2,565874.25,274519.1,840393.35,71362.19053,270301.8736,36144.89236,537252.6831,610438.698,305125.3695,903993.8486,train
1/10/23,488035.98,64240.2,248611.3,29365.28,552276.18,277976.58,830252.76,73008.03239,252531.7174,35039.5449,557026.7706,630754.5568,287590.9126,909540.3521,train
1/11/23,495460.7,66629.67,236214.2,32951.7,562090.37,269165.9,831256.27,71236.22225,254422.1163,34716.74927,566658.7203,638302.739,288114.5933,917993.7798,train
1/12/23,480696.21,64915.82,219832.4,35370.85,545612.03,255203.25,800815.28,68025.90316,241652.307,33214.45215,533222.8751,601438.9372,273925.9139,867902.4628,train
1/13/23,488952.44,79955.39,221070.9,27234.99,568907.83,248305.89,817213.72,66287.90108,229233.0127,31695.71199,503251.9222,569865.5161,259966.7576,823639.9755,train
1/14/23,514870.71,69571.36,224174.53,38550.94,584442.07,262725.47,847167.54,64002.20149,233718.6266,33090.90586,488777.8954,552767.9874,266551.855,812991.6124,train
1/15/23,547536.5,81442.22,255851.6,46611.63,628978.72,302463.23,931441.95,68995.06528,258443.2426,36807.82877,547561.4225,616727.3668,295422.2863,906850.9717,train
1/16/23,687940.6,94394.11,290288.12,42357.41,782334.71,332645.53,1114980.24,72432.44885,249922.3095,35616.26451,524185.7203,597423.2525,285850.5032,877215.9447,train
1/17/23,559474.65,87606.47,218569.7,42371.34,647081.12,260941.04,908022.16,74089.47618,233714.8232,34513.67332,543013.4689,616846.1556,269594.3385,882257.7652,train
1/18/23,561431.99,88587.54,214500.6,30486.96,650019.53,244987.56,895007.09,72277.13571,235747.8028,34184.22848,552009.3625,623842.8224,270314.8278,890254.7456,train
1/19/23,503742.8,71264.41,196121.3,28446.12,575007.21,224567.42,799574.63,69005.2389,224238.8019,32695.74451,519142.2687,587526.7682,257275.2965,841616.6707,train
1/20/23,442226.99,60281.2,190590.9,27539.36,502508.19,218130.26,720638.45,67226.95775,213071.1542,31193.64189,489754.0182,556482.5772,244473.3284,798760.2855,train
1/21/23,428527.55,56436.64,198213.8,36536.75,484964.19,234750.55,719714.74,64893.25033,217653.1129,32561.18634,475533.1455,539659.9181,251032.0041,788617.218,train
1/22/23,519665.25,68757.35,242896,30443.04,588422.6,273339.04,861761.64,69937.84783,241186.2584,36214.51936,532647.3356,602036.6743,278679.9516,879997.0669,train
